WebpageLink,ExpectedLanguage,Text
Add Conversion Rate page,en,Start Date
Add Conversion Rate page,en,Start Time
Add Conversion Rate page,en,End Date
Add Conversion Rate page,en,End Time
Add Conversion Rate page,en,From Currency
Add Conversion Rate page,en,To Currency
Add Conversion Rate page,en,Conversion Rate
Add Conversion Rate page,en,Start Date
Add Conversion Rate page,en,Start Time
Add Conversion Rate page,en,End Date
Add Conversion Rate page,en,End Time
Add Conversion Rate page,en,Search
Add Conversion Rate page,en,Number of items per page
Add Conversion Rate page,en,Page number input
Add Conversion Rate page,en,Orders
Add Conversion Rate page,en,Approve Orders
Add Conversion Rate page,en,Order History
Add Conversion Rate page,en,Catalog
Add Conversion Rate page,en,Inventory
Add Conversion Rate page,en,Currency Conversion
Add Conversion Rate page,en,Budget
Add Conversion Rate page,en,Catalog Admin
Add Conversion Rate page,en,Policies
Add Conversion Rate page,en,Accounts
Add Conversion Rate page,en,User Access
Add Conversion Rate page,en,Logout
Add Conversion Rate page,en,Cancel
Add Conversion Rate page,en,Add
Add Conversion Rate page,en,Ok
Add Conversion Rate page,en,Add Conversion Rate
Add Conversion Rate page,en,Edit
Add Conversion Rate page,en,Delete
Add Conversion Rate page,en,Cancel
Add Conversion Rate page,en,Delete
Add Conversion Rate page,en,Continue Session
Add Conversion Rate page,en,Orders   Approve Orders   Order History
Add Conversion Rate page,en,Corporate Currency
Add Conversion Rate page,en,Cancel
Add Conversion Rate page,en,Add
Add Conversion Rate page,en,Add Conversion Rate
Add Conversion Rate page,en,From Currency
Add Conversion Rate page,en,To Currency
Add Conversion Rate page,en,Conversion Rate
Add Conversion Rate page,en,Start Date
Add Conversion Rate page,en,End Date
Add Conversion Rate page,en,Last Updated By
Add Conversion Rate page,en,Last Updated On
Add Conversion Rate page,en,Cancel
Add Conversion Rate page,en,Delete
Add Conversion Rate page,en,March
Add Conversion Rate page,en,Sun
Add Conversion Rate page,en,Mon
Add Conversion Rate page,en,Tue
Add Conversion Rate page,en,Wed
Add Conversion Rate page,en,Thu
Add Conversion Rate page,en,Fri
Add Conversion Rate page,en,Sat
Add Conversion Rate page,es,Fecha inicial
Add Conversion Rate page,es,Start Time
Add Conversion Rate page,es,Fecha final
Add Conversion Rate page,es,End Time
Add Conversion Rate page,es,De divisa
Add Conversion Rate page,es,A divisa
Add Conversion Rate page,es,Tipo de cambio
Add Conversion Rate page,es,Fecha inicial
Add Conversion Rate page,es,Start Time
Add Conversion Rate page,es,Fecha final
Add Conversion Rate page,es,End Time
Add Conversion Rate page,es,Buscar
Add Conversion Rate page,es,Número de elementos por página
