WebpageLink,ExpectedLanguage,Text
Sign-In Page,en,Agree to Privacy Statement
Sign-In Page,en,Orders
Sign-In Page,en,Approve Orders
Sign-In Page,en,Order History
Sign-In Page,en,Catalog
Sign-In Page,en,Inventory
Sign-In Page,en,Currency Conversion
Sign-In Page,en,Budget
Sign-In Page,en,Catalog Admin
Sign-In Page,en,Policies
Sign-In Page,en,Privacy Statement
Sign-In Page,en,Accounts
Sign-In Page,en,User Access
Sign-In Page,en,Logout
Sign-In Page,en,Submit
Sign-In Page,en,Continue Session
Sign-In Page,en,Orders Approve Orders Order History
Main Parameters page,en,Service Instance Name
Main Parameters page,en,Quantity
Main Parameters page,en,Quick purchase
Main Parameters page,en,Add service to existing cart
Main Parameters page,en,Add service to new cart
Main Parameters page,en,Provider Account
Main Parameters page,en,Orders
Main Parameters page,en,Approve Orders
Main Parameters page,en,Order History
Main Parameters page,en,Catalog
Main Parameters page,en,Inventory
Main Parameters page,en,Currency Conversion
Main Parameters page,en,Budget
Main Parameters page,en,Catalog Admin
Main Parameters page,en,Policies
Main Parameters page,en,Catalog
Main Parameters page,en,DETAILS
Main Parameters page,en,Accounts
Main Parameters page,en,User Access
Main Parameters page,en,Logout
Main Parameters page,en,Cancel
Main Parameters page,en,Next
Main Parameters page,en,NO
Main Parameters page,en,YES
Main Parameters page,en,Continue Session
Main Parameters page,en,Orders Approve Orders Order History
Main Parameters page,en,PLACE ORDER
Main Parameters page,en,Configure Service
Main Parameters page,en,Estimated Cost
Main Parameters page,en,Quick purchase
Main Parameters page,en,Add service to existing cart
Main Parameters page,en,Add service to new cart
Review Order Page,en,Orders
Review Order Page,en,Approve Orders
Review Order Page,en,Order History
Review Order Page,en,Catalog
Review Order Page,en,Inventory
Review Order Page,en,Currency Conversion
Review Order Page,en,Budget
Review Order Page,en,Catalog Admin
Review Order Page,en,Policies
Review Order Page,en,Catalog
Review Order Page,en,DETAILS
Review Order Page,en,More
Review Order Page,en,Accounts
Review Order Page,en,User Access
Review Order Page,en,Logout
Review Order Page,en,Cancel
Review Order Page,en,Previous
Review Order Page,en,Submit Order
Review Order Page,en,Go to Service Catalog
Review Order Page,en,NO
Review Order Page,en,YES
Review Order Page,en,Continue Session
Review Order Page,en,Orders Approve Orders Order History
Review Order Page,en,PLACE ORDER
Review Order Page,en,Configure Service
Review Order Page,en,Submit Order
Review Order Page,en,SERVICE DETAILS
Review Order Page,en,ADDITIONAL DETAILS
Review Order Page,en,Estimated Costs
Review Order Page,en,Invalid Date Format
Order Submission Page,en,Orders
Order Submission Page,en,Approve Orders
Order Submission Page,en,Order History
Order Submission Page,en,Catalog
Order Submission Page,en,Inventory
Order Submission Page,en,Currency Conversion
Order Submission Page,en,Budget
Order Submission Page,en,Catalog Admin
Order Submission Page,en,Policies
Order Submission Page,en,Catalog
Order Submission Page,en,DETAILS
Order Submission Page,en,More
Order Submission Page,en,Accounts
Order Submission Page,en,User Access
Order Submission Page,en,Logout
Order Submission Page,en,Cancel
Order Submission Page,en,Previous
Order Submission Page,en,Submit Order
Order Submission Page,en,Go to Service Catalog
Order Submission Page,en,NO
Order Submission Page,en,YES
Order Submission Page,en,Continue Session
Order Submission Page,en,Orders Approve Orders Order History
Order Submission Page,en,PLACE ORDER
Order Submission Page,en,Configure Service
Order Submission Page,en,Submit Order
Order Submission Page,en,SERVICE DETAILS
Order Submission Page,en,ADDITIONAL DETAILS
Order Submission Page,en,Estimated Costs
Budgetary Unit Page,en,Number of items per page
