WebpageLink,ExpectedLanguage,Text
Currency UI - English,En,Corporate Currency
Currency UI - English,En, From Currency
Currency UI - English,En, To Currency
Currency UI - English,En, Conversion Rate
Currency UI - English,En, Start Date
Currency UI - English,En, Start Time
Currency UI - English,En, End Date
Currency UI - English,En, End Time
Currency UI - Chinese (Traditional),Zh,公司貨幣
Currency UI - Chinese (Traditional),Zh, 來源貨幣
Currency UI - Chinese (Traditional),Zh, 目標貨幣
Currency UI - Chinese (Traditional),Zh, 轉換率
Currency UI - Chinese (Traditional),Zh, 開始日期
Currency UI - Chinese (Traditional),Zh, 開始時間
Currency UI - Chinese (Traditional),Zh, 結束日期
Currency UI - Chinese (Traditional),Zh, 結束時間
Currency UI - French,Fr,Devise de l'entreprise
Currency UI - French,Fr, Devise source
Currency UI - French,Fr, Devise cible
Currency UI - French,Fr, Taux de conversion
Currency UI - French,Fr, Date de début
Currency UI - French,Fr, Heure de début
Currency UI - French,Fr, Date de fin
Currency UI - English,En,Corporate Currency
Currency UI - English,En, From Currency
Currency UI - English,En, To Currency
Currency UI - English,En, Conversion Rate
Currency UI - English,En, Start Date
Currency UI - English,En, Start Time
Currency UI - English,En, End Date
Currency UI - English,En, End Time
Currency UI - English,En,Corporate Currency
Currency UI - English,En, From Currency
Currency UI - English,En, To Currency
Currency UI - English,En, Conversion Rate
Currency UI - English,En, Start Date
Currency UI - English,En, Start Time
Currency UI - English,En, End Date
Currency UI - English,En, End Time
Currency UI - Spanish,Es,Moneda corporativa
Currency UI - Spanish,Es, De divisa
Currency UI - Spanish,Es, A divisa
Currency UI - Spanish,Es, Tipo de cambio
Currency UI - Spanish,Es, Fecha inicial
Currency UI - Spanish,Es, Hora de inicio
Currency UI - Spanish,Es, Fecha final
Currency UI - Spanish,Es, Hora de finalización
